"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"1","juntar","manar","salir","servir","nombrar","carta","consejo","decir","delio","don","ver","esperar","memoria","establecer","escribir","copiar","pensar","guardar","verso","quedar","obrar","personar","hacer","obrar","deber","amigo","año","ver","tomar","gusto"
"2","repetir","pedir","acabar","sociedad","llamar","perder","villa","etcétera","mil","carta","amigo","ofrecer","materia","poder","querer","hallar","tanto","acabar","amor","reconocer","puerto","conocer","deseo","tomar","seguir","hablar","afecto","querer","citar","dios"
"3","amigo","director","correr","don","medir","somoza","caso","salud","gusto","ver","ciudad","cuyo","idear","público","ver","año","decir","dios","poeta","cortar","amar","hombre","razón","escribir","faltar","mandar","orden","honor","fuero","ver"
"4","merecer","medir","san","país","convenir","pág","arbitrio","traer","dar","elogiar","correr","señor","noticiar","precisar","venir","amigo","querer","entender","poesía","proporcionar","afectísimo","dignar","partir","autor","dejar","punto","reconocer","representar","especial","coser"
"5","estimar","detener","mañana","cuidar","antiguo","real","asunto","asturias","hermano","probar","conocer","caso","efecto","dinero","coser","inscripción","parecer","poner","mérito","principado","sitio","don","presentar","madrid","dictamen","hacer","guardar","teatro","carmona","leer"
"6","fortuna","ser","poner","adjuntar","carta","biblioteca","informar","ciudad","amigo","rey","recoger","dudar","enviar","industriar","principio","seguro","noche","tomar","idear","don","gijón","gusto","particular","tratar","continuar","querer","motivo","comedir","hablar","poder"
"7","villa","gobierno","recibir","asegurar","latino","archivar","pensar","caso","batilo","juan","andar","cuidar","papel","comerciar","esperar","venir","largo","mes","poema","favor","proyecto","justo","observar","estilo","paso","menester","disponer","poner","caso","leído"
"8","gusto","informar","viajar","tribunal","voz","fuerte","paredón","mandar","finar","gregorio","dar","pobre","cuyo","mor","hacer","fechar","original","deseo","hallar","finar","precisar","dirigir","seguro","mérito","lograr","acá","consejo","corregir","especie","dejar"
"9","instar","semilla","cuidar","encargar","saber","catálogo","faltar","concluir","valdés","documento","entretanto","correr","faltar","fondo","empezar","finar","mus","formar","poder","deber","venir","mejor","entrar","noticiar","confianza","cumplir","academia","prólogo","rey","estudio"
"10","remitir","extrañar","tío","examen","aguar","instituto","ayuntamiento","león","expresiones","ser","sumo","ganar","útil","proyecto","paso","iglesia","formar","hallar","defecto","dignar","coser","juzgar","fray","don","pasar","dar","atención","estimación","fuer","hacer"
